Model,Algorithm,AUC,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value
0 vs A vs B vs C,Random Forest,0.5903188084687346,0.25,0.8581979320531757,0.058823529411764705,0.9699499165275459
0 vs A vs B vs C,XGBoost,0.6099519940915805,0.375,0.844903988183161,0.07894736842105263,0.9744463373083475
0 vs ABC,Random Forest,0.9697986577181208,1,0.9395973154362416,0.925,1
0 vs ABC,Adaboost,0.5287499999999999,0.5,0.5575,0.06842105263157895,0.9449152542372882
0 vs ABC,XGBoost,0.9607896487091118,0.9395973154362416,0.9819819819819819,0.9859154929577465,0.923728813559322
A vs B vs C,Random Forest,0.5785256410256411,0.5172413793103449,0.657051282051282,0.12295081967213116,0.9360730593607306
A vs B vs C,XGBoost,0.5306145004420866,0.41379310344827586,0.6474358974358975,0.09836065573770492,0.9223744292237442
AB vs C,Random Forest,0.49826923076923085,0.46153846153846156,0.535,0.06060606060606061,0.9385964912280702
AB vs C,Adaboost,0.5287499999999999,0.5,0.5575,0.06842105263157895,0.9449152542372882
AB vs C,XGBoost,0.5167307692307692,0.5384615384615384,0.495,0.06481481481481481,0.9428571428571428
A vs BC,Random Forest,0.49049539170506906,0.6774193548387096,0.30357142857142855,0.6176470588235293,0.36170212765957444
A vs BC,Adaboost,0.5010560675883257,0.5913978494623656,0.4107142857142857,0.625,0.3770491803278688
A vs BC,XGBoost,0.538594470046083,0.4642857142857143,0.6129032258064516,0.41935483870967744,0.6551724137931034
